step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
975.0,733,0,328,927,1660,0,25091.0,34.23055934515689,3.7112053140430286,328,52703.0,0.18291052525254395,328,52703.0
980.0,739,1,340,934,1673,0,25982.0,35.15832205683356,3.9050481554394216,340,53799.0,0.1895142760049947,340,53799.0
985.0,742,0,354,942,1684,0,27013.0,36.405660377358494,3.7897729681761456,354,55470.0,0.18271491658741204,354,55470.0
990.0,753,3,364,948,1701,0,27558.0,36.59760956175299,3.8170560595558674,364,55530.0,0.1893228568694439,364,55530.0
995.0,767,0,369,951,1718,0,28136.0,36.68318122555411,3.786948838871952,369,55789.0,0.1845519195239271,369,55789.0
1000.0,773,0,373,957,1730,0,28827.0,37.292367399741266,3.7514824314022364,373,55936.0,0.17701406898598743,373,55936.0
1005.0,786,2,392,960,1746,0,29810.0,37.92620865139949,3.971692986563007,392,55870.0,0.18185009179461034,392,55870.0
1010.0,797,1,403,962,1759,0,30743.0,38.57340025094103,3.950074587292861,403,57631.0,0.17754139210037473,403,57631.0
1015.0,809,0,386,967,1776,0,31122.0,38.46971569839308,3.879168058855252,386,58922.0,0.17389039223572766,386,58922.0
1020.0,814,2,371,977,1791,0,31632.0,38.85995085995086,3.9406764986979677,371,60396.0,0.18381626720739686,371,60396.0
1025.0,818,0,360,987,1805,0,32024.0,39.14914425427873,4.06508113932466,360,61472.0,0.19218150056577493,360,61472.0
1030.0,813,0,363,999,1812,0,32768.0,40.305043050430506,4.026710031839833,363,62705.0,0.18230736451358764,363,62705.0
1035.0,814,0,381,1004,1818,0,33705.0,41.40663390663391,3.9420581398882404,381,64443.0,0.17046608710700337,381,64443.0
1040.0,810,0,384,1019,1829,0,33800.0,41.72839506172839,3.6232740690040472,384,64868.0,0.1559284709169215,384,64868.0
1045.0,814,0,404,1029,1843,0,34400.0,42.26044226044226,3.3726804651814133,404,66120.0,0.1422373296539361,404,66120.0
1050.0,814,1,435,1037,1851,0,34999.0,42.9963144963145,3.0759107646829746,435,67852.0,0.1252942887826729,435,67852.0
1055.0,819,2,435,1047,1866,0,34749.0,42.42857142857143,3.1180378665702597,435,67942.0,0.13848354193387138,435,67942.0
1060.0,825,0,431,1061,1886,0,34768.0,42.1430303030303,3.1419276150000788,431,68962.0,0.14770038844081138,431,68962.0
1065.0,830,2,427,1070,1900,0,34910.0,42.06024096385542,3.1046326917485727,427,70886.0,0.14760178076800634,427,70886.0
1070.0,836,0,419,1076,1912,0,34371.0,41.11363636363637,3.0744464266564853,419,72194.0,0.14527146067157012,419,72194.0
1075.0,835,0,416,1081,1916,0,34557.0,41.38562874251497,3.003239439105778,416,73795.0,0.13852754296552292,416,73795.0
1080.0,833,1,421,1093,1926,0,35049.0,42.075630252100844,2.968916341937997,421,75181.0,0.13496736734068476,421,75181.0
1085.0,831,0,431,1109,1940,0,35705.0,42.966305655836344,3.040691020571209,431,76541.0,0.13924727820451369,431,76541.0
1090.0,835,1,427,1118,1953,0,36428.0,43.626347305389224,3.0231814989275767,427,78360.0,0.13879243989378645,427,78360.0
1095.0,841,0,421,1123,1964,0,36592.0,43.51010701545779,3.0275324938934887,421,78350.0,0.14046870562774735,421,78350.0
1100.0,845,0,434,1127,1972,0,37209.0,44.03431952662722,2.9320319488449242,434,79214.0,0.1306101178031204,434,79214.0
1105.0,851,0,438,1133,1984,0,38071.0,44.73678025851939,2.9892163533931884,438,79141.0,0.12828454999532504,438,79141.0
1110.0,864,0,446,1134,1998,0,38962.0,45.094907407407405,3.1895057755407556,446,79207.0,0.12879588697130823,446,79207.0
1115.0,869,2,464,1142,2011,0,40009.0,46.04027617951669,3.1952076734408044,464,80827.0,0.13218715975592074,464,80827.0
